id,palabra,word,valencia_m,valencia_sd,activacion_m,activacion_sd,concrecion_m,concrecion_sd,imaginabilidad_m,imaginabilidad_sd,disponiblidad_contextual_m,disponibilidad_contextual_sd,familiaridad_m,familiaridad_sd,categoria_palabra
1358,"valle","valley",6.00,1.30,2.35,1.76,5.40,1.31,6.00,1.20,4.75,2.02,4.82,1.62,1
1359,"vándalo","vandal",3.05,1.13,6.50,1.34,4.70,1.26,4.60,1.64,4.35,1.90,3.55,1.99,1
1360,"vegetación","vegetation",7.17,1.27,3.50,2.54,3.77,1.66,6.48,0.75,5.68,1.73,5.86,1.36,1
1361,"vela","candle",4.81,1.44,2.68,1.81,5.50,1.32,7.00,0.00,5.80,1.88,5.20,2.07,1
1362,"velo","veil",4.59,1.53,4.35,2.01,4.24,1.73,6.00,1.48,4.68,1.94,4.48,1.83,1
1363,"vencedora","winner",7.58,1.17,6.35,2.21,4.29,2.03,4.35,2.13,3.86,2.03,5.50,1.60,1
1364,"venda","band",4.45,1.22,4.00,2.00,5.80,1.79,4.67,2.29,5.00,1.83,6.14,0.99,1
1365,"vendedor","seller",5.00,1.17,4.25,1.65,5.10,1.61,4.85,1.73,5.32,1.70,6.41,0.85,1
1366,"veneración","veneration",4.68,1.55,4.50,1.99,3.30,1.75,1.86,1.28,2.95,2.15,3.05,2.01,1
1367,"venganza","revenge",2.17,1.53,7.10,2.17,3.59,1.50,2.62,1.75,4.09,2.35,5.75,1.68,1
1368,"ventaja","advantage",6.36,1.50,4.15,2.18,2.90,1.68,2.00,1.27,3.42,1.89,5.45,1.96,1
1369,"ventanilla","window",5.22,1.13,3.36,1.89,6.23,1.15,6.77,0.53,6.05,1.56,6.05,1.02,1
1370,"verbena","verbena",7.71,1.23,6.24,2.43,4.77,1.88,5.91,1.41,5.75,1.62,5.36,1.84,1
1371,"verdadero","true",7.64,1.14,4.25,3.02,4.10,2.34,2.15,1.73,4.22,2.11,6.00,1.71,3
1372,"verdugo","executioner",3.57,1.69,5.75,2.43,5.43,1.21,3.10,2.20,2.48,1.86,3.57,1.60,1
1373,"vergüenza","shame",3.32,1.64,6.40,2.16,3.71,2.31,2.82,1.50,6.09,1.41,6.67,0.73,1
1374,"verruga","wart",1.95,1.28,5.75,1.62,7.00,0.00,6.40,1.19,5.74,1.68,4.55,2.21,1
1375,"versión","version",5.00,0.31,4.20,1.44,2.35,1.57,1.41,1.14,3.14,2.03,5.20,1.91,1
1376,"verso","verse",6.05,1.20,4.25,1.94,4.27,1.61,4.95,1.36,5.00,1.95,5.38,1.86,3
1377,"vértigo","vertigo",3.32,2.10,6.95,2.11,4.10,2.27,2.95,2.24,5.09,2.11,4.90,2.05,1
1378,"vestíbulo","lobby",4.90,0.44,4.09,1.85,4.95,1.73,5.95,1.36,4.73,2.07,5.00,2.09,1
1379,"veterinaria","veterinarian",6.18,1.28,4.61,2.02,5.91,1.48,5.90,1.14,5.86,1.39,4.80,2.02,1
1380,"viajes","travel",7.76,1.30,6.32,2.50,3.70,2.01,5.78,1.68,6.36,1.43,6.41,0.80,1
1381,"vicio","vice",4.09,2.04,5.75,2.47,2.95,1.86,2.41,1.65,5.32,1.70,5.77,1.41,1
1382,"victoria","victory",8.09,0.87,5.43,2.31,3.95,1.88,3.95,1.86,5.41,1.65,5.95,1.50,1
1383,"vidrio","glass",5.10,0.54,4.55,2.06,5.14,1.74,6.41,0.85,4.91,2.22,5.24,1.81,1
1384,"vigía","lookout",4.85,0.88,4.95,1.93,4.19,1.63,3.04,2.08,2.41,2.09,2.71,1.62,1
1385,"violación","violation",1.00,0.00,7.90,2.40,4.10,1.92,4.00,2.32,4.39,2.21,5.64,1.73,1
1386,"violador","rapist",1.33,0.91,7.91,1.87,5.32,1.62,3.10,2.10,4.39,2.15,5.14,1.49,1
1387,"violencia","violence",1.55,1.43,7.82,1.53,2.20,1.40,4.70,1.74,6.00,1.60,6.05,1.73,1
1388,"violento","violent",2.14,0.71,7.29,1.49,5.13,1.60,4.74,2.05,5.27,1.75,6.05,1.00,3
1389,"vistazo","look",4.82,0.73,4.55,1.61,3.55,1.90,2.27,1.52,4.17,2.12,5.27,1.91,1
1390,"vitalidad","vitality",8.05,1.25,5.40,2.85,3.30,1.92,3.43,1.72,4.86,2.08,6.10,1.41,1
1391,"viuda","widow",1.55,1.06,5.70,2.30,6.10,1.04,4.85,2.11,5.36,1.94,4.75,2.12,1
1392,"viudo","widower",1.86,1.21,5.20,2.26,5.77,1.34,4.23,1.85,5.42,2.02,4.55,2.21,1
1393,"vivir","to live",8.48,0.85,6.41,2.91,2.41,1.59,2.85,1.14,5.64,1.79,6.29,0.96,2
1394,"vivo","alive",7.55,1.37,4.80,2.55,5.00,2.11,4.78,1.93,5.23,2.37,6.32,1.09,1
1395,"volcán","volcano",4.17,1.93,7.00,1.84,6.59,0.73,6.59,0.59,6.15,1.27,3.90,2.31,1
1396,"volumen","volume",5.36,1.05,5.41,1.99,4.05,1.86,2.36,1.56,5.55,1.57,6.36,0.95,1
1397,"voluntad","will",7.57,1.27,4.32,2.53,2.35,1.63,2.23,1.63,4.45,2.18,5.45,1.88,1
1398,"voluptuosidad","voluptuousness",5.23,1.07,4.95,1.47,3.33,1.74,2.86,1.56,2.55,2.04,2.55,1.34,1
1399,"zapato","shoe",5.91,1.28,3.95,2.09,5.95,1.40,6.71,1.10,6.41,1.33,6.73,0.55,1
1400,"zurra","spanking",2.81,1.25,5.95,1.17,4.13,2.03,3.91,2.47,3.50,2.37,2.77,1.72,1
